FUNCTION,MPN,ALT MPN1,ALT MPN2,MFT,ALT MFT1,ALT MFT2,Quantity,Designator,DNP,VALUE,Description,Footprint,TYPE,RATING
,,,,,,,,,,,,,,
Energy Meter,,,,,,,2,"3V3_AC, GND_AC",,,,TestPad TH,,
Energy Meter,GRM155R71H104ME14D,,,Murata Electronics North America,,,5,"C1, C4, C13, C15, C17",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Energy Meter,GRM188R71C105KA12D,,,Murata Electronics North America,,,2,"C2, C6",,1µF,CAP CER 1UF 16V X7R 0603,C0603,SMD,"±10%, 16V"
Switch,EMK107B7105KA-T,,,Taiyo Yuden,,,2,"C3, C7",,1µF,CAP CER 1UF 16V X7R 0603,C0603,SMD,16V
Energy Meter,GRM1555C1H102JA01D,,,Murata Electronics North America,,,3,"C5, C16, C18",,1000pF,CAP CER 1000PF 50V NP0 0402,C0402,SMD,50V
analog outputs,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C8,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,GRM219R61C226ME15L,,,Murata Electronics North America,,,2,"C12, C32",,22µF,CAP CER 22UF 16V 20% X5R 0805,C0805,SMD,16V 20% X5R
Energy Meter,GRM1555C1H180FA01D,,,Murata Electronics North America,,,2,"C19, C20",DNP,18pF,CAP CER 18PF 50V NP0 0402,C0402,SMD,50V
gps,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C26,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
gps,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C27,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Analog Inputs,GCM188R71H224KA64D,,,Murata Electronics North America,,,3,"C28, C601, C603",,0.22µF,CAP CER 0.22UF 50V X7R 0603,C0603,SMD,50V
Power Supply,GRM21BR61C226ME44L,,,Murata Electronics North America,,,1,C29,,22µF,CAP CER 22UF 16V X5R 0805,C0805,SMD,16V
I2C Devices,GRM155R71H104ME14D,,,Murata Electronics North America,,,5,"C34, C35, C36, C37, C38",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Top,R46KF310000P1M,,,Kemet,,,1,C101,DNP,0.1µF,CAP FILM 0.1UF 20% 560VDC RADIAL,R46KF310000P1M,TH,560VDC
analog outputs,GRM188R71C474KA88D,,,Murata Electronics North America,,,1,C104,,0.47µF,CAP CER 0.47UF 16V X7R 0603,C0603,SMD,16V
Jennic,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C202,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
Jennic,GRM155R71H104ME14D,,,Murata Electronics North America,,,2,"C203, C209",,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,GRM31CR71C106KAC7L,,,Murata Electronics North America,,,1,C404,,10µF,CAP CER 10UF 16V X7R 1206,C1206,SMD,16V
Power Supply,GRM21BR61C226ME44L,,,Murata Electronics North America,,,1,C405,DNP,22µF,CAP CER 22UF 16V X5R 0805,C0805,SMD,16V
Power Supply,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C406,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Relay,GRM155R71H104ME14D,,,Murata Electronics North America,,,1,C701,,0.10µF,CAP CER 0.1UF 50V X7R 0402,C0402,SMD,50V
Power Supply,MMSZ5240BS-7-F,BZT52C10S,,Diodes Incorporated,Bytesonic,,1,D1,,MMSZ5240BS-7-F,DIODE ZENER 10V 200MW SOD323,SOD-323,SMD,10V
Top,XZVGR68W-3,,,SunLED,,,1,D2,,Green,LED GREEN CLEAR 0402 SMD,LED0402(GREEN),SMD,
gps,VLMS1500-GS08,YLS0402/R/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect.,,2,"D8, D9",DNP,Red,LED RED 0402 SMD,LED0402(RED),SMD,
Analog Inputs,SMBJ33A-TP,,,Micro Commercial Co,,,1,D13,,SMBJ33A-TP,TVS DIODE 33VWM 53.3VC SMB,"DO-214AA, SMB",SMD,33V
Top,VLMS1500-GS08,YLS0402/R/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect.,,1,D14,,Red,LED RED 0402 SMD,LED0402(RED),SMD,
Top,VLMB1500-GS08,YLS0402/B/21/05 C,,Vishay Semiconductor Opto Division,Y.Lin Elect,,1,D101,,Blue,LED BLUE 0402 SMD,LED0402(BLUE),SMD,
analog outputs,SMAJ22CA,SMAJ22CA,,Littelfuse,Bytesonic,,1,D801,,SMAJ22CA,TVS Diodes - Transient Voltage Suppressors 22Vr 400W 11.3A 5% BiDirectional,DO-214AC,SMD,22 V
Relay,MBR0520L,B0520W,,ON Semiconductor,Bytesonic,,1,D901,,MBR0520L,DIODE SCHOTTKY 20V 0.5A SOD123,SOD123,SMD,20V 500MA
Top,SS-5-5A-AP,,,Eaton Bussmann,,,1,F101,,5A,FUSE BOARD MOUNT 5A 250VAC RAD,SS-5-5A-AP,TH,
Top,5-146280-3,,,TE Connectivity AMP Connectors,,,1,J2,DNP,5-146280-3,CONN HEADR BRKWAY .100 3POS STR,5-146280-3,TH,
Top,87227-8,,,TE Connectivity AMP Connectors,,,1,J3,DNP,87227-8,CONN HEADER VERT .100 16POS 15AU,87227-8,SMD,
Jennic,,,,,,,1,J4,,,,0603 Jumper,SMD,
Relay,ALZ12B12,RZ03-1C4-D012,HF115F/012-1ZS3A,Panasonic Industrial Devices,TE connectivity,Hongfa,1,K901,,ALZ12B12,General Purpose Relays 16A 12VDC SPDT CLASS B,ALZ12B12 (custom),TH,
Jennic,BLM21PG121SN1D,,,Murata Electronics North America,,,1,L201,,120 Ohm,FERRITE CHIP 120 OHM 0805,0805 INDUCTOR,SMD,3A
Power Supply,NR3015T2R2M,,,Taiyo Yuden,,,1,L401,,2.2uH,FIXED IND 2.2UH 1.5A 72 MOHM SMD,NR3015,SMD,
Top,2213730-1,,,TE Connectivity,,,1,P100,,2213730-1,,LIGHTCTRL_2213730-1_2213730-1(Primary),TH,
Switch,"PBSS3515VS,115",,,Nexperia USA Inc.,,,1,Q1,,"PBSS3515VS,115",TRANS 2PNP 15V 0.5A SOT666,SOT50P160X60-6N,SMD,15V
Switch,NUD3124LT1G,,,ON Semiconductor,,,1,Q2,,NUD3124LT1G,IC INDCT LOAD DRVR AUTO SOT23,SOT-23-3,SMD,
Relay,NUD3124LT1G,,,ON Semiconductor,,,1,Q4,,NUD3124LT1G,IC INDCT LOAD DRVR AUTO SOT23,SOT-23-3,SMD,
Top,ERJ-2RKF1001X,,,Panasonic Electronic Components,,,3,"R1, R50, R105",,1k,RES SMD 1K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Energy Meter,CRCW04023K30FKED,,,Vishay Dale,,,4,"R2, R4, R25, R277",,3.3k,RES SMD 3.3K OHM 1% 1/16W 0402,R0402,SMD,1/16W
Energy Meter,ERJ-2RKF4701X,,,Panasonic Electronic Components,,,1,R3,,4.7k,RES SMD 4.7K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Switch,CRCW04021K00FKED,,,Vishay Dale,,,1,R5,,1k,RES SMD 1K OHM 1% 1/16W 0402,R0402,SMD,0.063W
Power Supply,9C08052A0R00JLHFT,,,Yageo,,,1,R6,,0,RES SMD 0.0 OHM JUMPER 1/8W 0805,R0805,SMD,Jumper
Switch,RC0402FR-073RL,,,YAGEO,,,1,R7,,3,RES 3 OHM 1% 1/16W 0402,R0402,SMD,1/16W
Switch,RC0402JR-0747KL,,,Yageo,,,1,R8,,47k,RES SMD 47K OHM 5% 1/16W 0402,R0402,SMD,1/16W
Top,CRCW06030000Z0EA,,,Vishay Dale,,,3,"R9, R10, R30",,0,RES SMD 0.0OHM JUMPER 1/10W 0603,R0603,SMD,"0.1W, 1/10W"
Energy Meter,CRCW0603750RFKEA,,,Vishay Dale,,,3,"R12, R16, R18",,750,RES SMD 750 OHM 1% 1/10W 0603,R0603,SMD,1/10W
Energy Meter,CRE2512-FZ-R004E-3,,,Bourns Inc.,,,1,R13,,,RES SMD 0.004 OHM 1% 3W 2512,R2512,SMD,
Energy Meter,CRCW06030000Z0EA,,,Vishay Dale,,,2,"R15, R17",,0,RES SMD 0.0OHM JUMPER 1/10W 0603,R0603,SMD,"0.1W, 1/10W"
Jennic,CRCW04020000Z0ED,,,Vishay Dale,,,1,R19,,0,RES SMD 0.0OHM JUMPER 1/16W 0402,R0402,SMD,63mW
gps,CRCW06030000Z0EA,,,Vishay Dale,,,1,R24,,0,RES SMD 0.0OHM JUMPER 1/10W 0603,R0603,SMD,"0.1W, 1/10W"
Energy Meter,CRCW1206820KFKEA,,,Vishay Dale,,,2,"R26, R27",,820k,RES SMD 820K OHM 1% 1/4W 1206,R1206,SMD,1/4W
Energy Meter,CRCW1206330KFKEA,,,Vishay Dale,,,1,R28,,330k,RES SMD 330K OHM 1% 1/4W 1206,R1206,SMD,1/4W
Power Supply,ERJ-3EKF1002V,,,Panasonic Electronic Components,,,2,"R29, R56",,10k,RES SMD 10K OHM 1% 1/16W 0603,R0603,SMD,0.063W
Energy Meter,RC0402FR-071K2L,,,Yageo,,,2,"R31, R32",,1.2k,RES SMD 1.2K OHM 1% 1/16W 0402,RESC1005X40N,SMD,1/16W
Energy Meter,CRCW0402330RFKED,,,Vishay Dale,,,3,"R33, R36, R37",,330,RES SMD 330 OHM 1% 1/16W 0402,R0402,SMD,1/16W
I2C Devices,CRCW0402330RFKED,,,Vishay Dale,,,3,"R41, R54, R55",,330,RES SMD 330 OHM 1% 1/16W 0402,R0402,SMD,1/16W
I2C Devices,MCS04020C1001FE000,,,Vishay Beyschlag,,,4,"R44, R51, R52, R53",,1k,RES SMD 1K OHM 1% 1/10W 0402,R0402,SMD,1/10W
gps,ERJ-2RKF1001X,,,Panasonic Electronic Components,,,2,"R46, R47",DNP,1k,RES SMD 1K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Analog Inputs,TNPW060324K0BEEA,,,Vishay Dale,,,1,R48,,24k,RES 24K OHM 0.1% 1/8W 0603,R0603,SMD,1/8W
Analog Inputs,ERA-3AEB562V,,,Panasonic Electronic Components,,,3,"R49, R602, R606",,5.6k,RES SMD 5.6K OHM 0.1% 1/10W 0603,R0603,SMD,1/10W
Energy Meter,RMCF1206JT100R,,,Stackpole Electronics,,,1,R57,,100,RES 100 OHM 5% 1/4W 1206,R1206,SMD,1/4W
analog outputs,ERJ-2RKF1002X,,,Panasonic Electronic Components,,,1,R108,,10k,RES SMD 10K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Jennic,ERJ-2RKF4701X,,,Panasonic Electronic Components,,,1,R201,,4.7k,RES SMD 4.7K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Power Supply,ERJ-2RKF1003X,,,Panasonic Electronic Components,,,1,R401,,100k,RES SMD 100K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
Analog Inputs,ERA-3AEB683V,,,Panasonic Electronic Components,,,1,R601,,68k,RES SMD 68K OHM 0.1% 1/10W 0603,R0603,SMD,1/10W
Analog Inputs,TNPW060324K0BEEA,,,Vishay Dale,,,1,R605,,24k,RES SMD 24K OHM 0.1% 1/8W 0603,R0603,SMD,1/8W
analog outputs,ERJ-2RKF1001X,,,Panasonic Electronic Components,,,1,R801,,1k,RES SMD 1K OHM 1% 1/10W 0402,R0402,SMD,"0.1W, 1/10W"
analog outputs,CRCW06032K20FKEA,,,Vishay Dale,,,1,R802,,2.2K,RES SMD 2.2K OHM 1% 1/10W 0603,R0603,SMD,
analog outputs,CRCW04021R00FKED,,,Vishay Dale,,,1,R806,,1,RES SMD 1 OHM 1% 1/16W 0402,R0402,SMD,1/16W
Relay,CRCW04023K30FKED,,,Vishay Dale,,,1,R1777,,3.3k,RES SMD 3.3K OHM 1% 1/16W 0402,R0402,SMD,1/16W
Energy Meter,TCLT1003,LTV1003-TP-V-G,,Vishay Semiconductor Opto Division,LITEON,,3,"U1, U9, U10",,TCLT1003,OPTOISOLATR 5KV TRANSISTOR 4-SOP,SOP-4L,SMD,5KV
analog outputs,AS321KTR-G1,,,Diodes Incorporated,,,1,U2,,AS321KTR-G1,IC OPAMP GP 1 CIRCUIT SOT25,SOT-23-5,SMD,
Energy Meter,78M6610+PSU/B00,,,Maxim Integrated,,,1,U6,,,IC ENERGY MEASURMENT 1PH 24TQFN,QFN-24 (4X4mm),SMD,
I2C Devices,KX122-1037,,,Kionix Inc.,,,1,U7,,KX122-1037,ACCELEROMETER 2-8G I2C/SPI 12LGA,KX122-1037,SMD,
gps,SIM33ELA,L96,,SIMCom,Quectel,,1,U12,,SIM33ELA,"A-GPS receiver, with built-in Antenna",SIM33ELA,SMD,
Energy Meter,NXJ1S0303MC-R7,NXE1S0303MC-R7,F0303XT-1WR2,Murata Power Solutions,Murata Power Solutions Inc.,Mornsun,1,U13,,NXJ1S0303MC-R7,Isolated DC/DC Converters 1W 3.3Vin 3.3Vout 333mA SM,NXJ1S0303MC-R7,SMD,
I2C Devices,ATSHA204A-XHDA-T,,,Microchip Technology,,,1,U14,,ATSHA204A-XHDA-T,IC AUTHENTICATION CHIP 8TSSOP,TSSOP-8 (wide Body),SMD,
I2C Devices,APDS-9300-020,,,Broadcom Limited,,,1,U15,,APDS-9300-020,IC SENSOR AMBIENT LIGHT 6CHIPLED,APDS-9300-020,SMD,
I2C Devices,M24C32-DFDW6TP,,,STMicroelectronics,,,1,U16,,M24C32-DFDW6TP,IC EEPROM 32KBIT 400KHZ 8TSSOP,8-TSSOP,SMD,
Jennic,JN5168-001-M06Z,,,NXP USA Inc.,,,1,U201,,JN5168-001-M06Z,RF TXRX MODULE 802.15.4 U.FL ANT,JN5168-001-M06Z,SMD,
Power Supply,TPS62172DSGT,,,TEXAS INSTRUMENTS,,,1,U402,,TPS62172DSGT,IC REG BUCK 3.3V 0.5A SYNC 8WSON,WSON8,SMD,
Power Supply,IRM-03-12,,,Mean Well,,,1,U403,,IRM-03-12,AC/DC Power Modules 85-305Vac 12Vout 250mA 3W PCM mnt,IRM-03-12,TH,
Top,S20K300E2,SVR20D471KA99BH,,EPCOS (TDK),Fenghua,,1,V101,,S20K300E2,VARISTOR 470V 10KA DISC 20MM,S20K300E2,SMD,470V 10KA
Relay,S14K300E2K1,SVR14D471KA78BH,,EPCOS (TDK),Fenghua Hi Tech,,1,V901,,S14K300E2K1,VARISTOR 470V 6KA DISC 14MM,S14K300E2K1,TH,470V
Energy Meter,ABLS7M-20.000MHZ-B-2-T,,,Abracon LLC,,,1,X2,DNP,,CRYSTAL 20.000 MHZ 18PF SMT,ABLS7M (crystal),SMD,
